Name,Profession,Dob,picture,notable_work
Margaret Qualley,Actress,1994-10-23,"https://m.media-amazon.com/images/M/MV5BYWZmMDFlMDYtYzk3My00YTg1LTllZWUtYzY2Y2QyNjk2NTZmXkEyXkFqcGdeQXVyMzcxMTAwMDM@._V1_UY317_CR78,0,214,317_AL__QL50.jpg","Once Upon a Time... in Hollywood,Fosse/Verdon,Kenzo World,Novitiate"
Charlie Tahan,Actor,1998-6-11,"https://m.media-amazon.com/images/M/MV5BNGM4MjRjMjUtYzRiMC00OWU2LThmNWItYmUxNDljMDczYTA5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR14,0,214,317_AL__QL50.jpg","Ozark,I Am Legend,Frankenweenie,Charlie St. Cloud"
Lynn Collins,Actress,1977-5-16,"https://m.media-amazon.com/images/M/MV5BMTQ2NzY3NzMzM15BMl5BanBnXkFtZTYwNzEzNTE2._V1_UX214_CR0,0,214,317_AL__QL50.jpg","X-Men Origins: Wolverine,John Carter,The Merchant of Venice,The Number 23"
Andrea Riseborough,Actress,1981-11-20,"https://m.media-amazon.com/images/M/MV5BMTU5MTUzNDAwN15BMl5BanBnXkFtZTcwMjA0NjcyNw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Birdman or (The Unexpected Virtue of Ignorance),Oblivion,Mandy,W.E."
Quentin Tarantino,Writer,1963-3-27,"https://m.media-amazon.com/images/M/MV5BMTgyMjI3ODA3Nl5BMl5BanBnXkFtZTcwNzY2MDYxOQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Reservoir Dogs,Pulp Fiction,From Dusk Till Dawn,The Hateful Eight"
Taika Waititi,Writer,1975-8-16,"https://m.media-amazon.com/images/M/MV5BMzk4MDIzNjcwNV5BMl5BanBnXkFtZTgwMTIyMjgwNDI@._V1_UY317_CR20,0,214,317_AL__QL50.jpg","What We Do in the Shadows,Jojo Rabbit,Hunt for the Wilderpeople,Thor: Ragnarok"
Rose Byrne,Actress,1979-7-24,"https://m.media-amazon.com/images/M/MV5BMTc0MDA2Njc0OF5BMl5BanBnXkFtZTcwNzc3NDU3Mw@@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","Spy,Insidious,Bridesmaids,Neighbors"
Tom Hanks,Producer,1956-7-9,"https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_UY317_CR2,0,214,317_AL__QL50.jpg","Cast Away,Big,Forrest Gump,Saving Private Ryan"
Rachel Skarsten,Actress,1985-4-23,"https://m.media-amazon.com/images/M/MV5BZGFkNjA4ZjItNWY1OS00OTVhLTk3Y2UtZThiNjZkOWFjNGNiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","Fifty Shades of Grey,Birds of Prey,Little Men,The Vow"
Madison Lintz,Actress,,"https://m.media-amazon.com/images/M/MV5BNjk2OGYzZDQtOGM4Mi00MjY3LWIyZmMtNWFhN2RjODU5NzlmXkEyXkFqcGdeQXVyMjM1OTU4NzY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","The Walking Dead,Bosch,After,Along Came the Devil"
Cate Blanchett,Actress,1969-5-14,"https://m.media-amazon.com/images/M/MV5BMTc1MDI0MDg1NV5BMl5BanBnXkFtZTgwMDM3OTAzMTE@._V1_UY317_CR3,0,214,317_AL__QL50.jpg","Carol,Blue Jasmine,The Lord of the Rings: The Fellowship of the Ring,Elizabeth"
Sofia Hublitz,Actress,1999-6-1,"https://m.media-amazon.com/images/M/MV5BNjkxYzlmZmItYjE3YS00ZmY2LThkMmQtMWJlMjE5OTViNmE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","Ozark,What Breaks the Ice,Louie,Horace and Pete"
Henry Cavill,Actor,1983-5-5,"https://m.media-amazon.com/images/M/MV5BODI0MTYzNTIxNl5BMl5BanBnXkFtZTcwNjg2Nzc0NA@@._V1_UY317_CR26,0,214,317_AL__QL50.jpg","Man of Steel,Batman v Superman: Dawn of Justice,Justice League,Mission: Impossible - Fallout"
Natalie Dormer,Actress,1982-2-11,"https://m.media-amazon.com/images/M/MV5BNjM4NjQwMzE1Ml5BMl5BanBnXkFtZTgwNjg5MTM0NzE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Game of Thrones,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 2,The Tudors"
Hayden Christensen,Actor,1981-4-19,"https://m.media-amazon.com/images/M/MV5BY2Y2NTE4YzYtMTA4OS00NzNmLWIxNzctMDEyMjE2NWU3YWNmXkEyXkFqcGdeQXVyODMwMzI4MTg@._V1_UY317_CR21,0,214,317_AL__QL50.jpg","Star Wars: Episode II - Attack of the Clones,Star Wars: Episode III - Revenge of the Sith,Jumper,Shattered Glass"
Scarlett Johansson,Actress,1984-11-22,"https://m.media-amazon.com/images/M/MV5BMTM3OTUwMDYwNl5BMl5BanBnXkFtZTcwNTUyNzc3Nw@@._V1_UY317_CR23,0,214,317_AL__QL50.jpg","Lost in Translation,Her,The Avengers,Under the Skin"
Dan Levy,Writer,1983-0-0,"https://m.media-amazon.com/images/M/MV5BY2ZhOWMzZWMtMTNkMi00YmRjLTljOTEtZjhkNmI3NjlmZjM3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Schitt's Creek,Admission,Cyberstalker,Modern Family"
Zendaya,Actress,1996-9-1,"https://m.media-amazon.com/images/M/MV5BMjAxZTk4NDAtYjI3Mi00OTk3LTg0NDEtNWFlNzE5NDM5MWM1XkEyXkFqcGdeQXVyOTI3MjYwOQ@@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Spider-Man: Homecoming,The Greatest Showman,Spider-Man: Far from Home,K.C. Undercover"
Lisa Emery,Actress,1952-1-29,"https://m.media-amazon.com/images/M/MV5BMTYyMzQ5MTUyNF5BMl5BanBnXkFtZTgwODI0OTIyNjM@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Admission,Unfaithful,Wolf,Ozark"
Cillian Murphy,Actor,1976-5-25,"https://m.media-amazon.com/images/M/MV5BMTUzMjg1NzIyOV5BMl5BanBnXkFtZTYwMzg2Mjgy._V1_UX214_CR0,0,214,317_AL__QL50.jpg","28 Days Later...,Inception,Red Eye,The Dark Knight"
Keanu Reeves,Actor,1964-9-2,"https://m.media-amazon.com/images/M/MV5BNjUxNDcwMTg4Ml5BMl5BanBnXkFtZTcwMjU4NDYyOA@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","The Matrix,Speed,Point Break,The Matrix Reloaded"
Kari Matchett,Actress,1970-3-25,"https://m.media-amazon.com/images/M/MV5BMTQwMjAwOTE4OV5BMl5BanBnXkFtZTcwMDQwODMzMQ@@._V1_UY317_CR2,0,214,317_AL__QL50.jpg","Cube²: Hypercube,Maudie,Cypher,Covert Affairs: Sights Unseen"
Titus Welliver,Actor,1962-3-12,"https://m.media-amazon.com/images/M/MV5BMTY0OTA0Mzg3N15BMl5BanBnXkFtZTcwNDExMzc0Mw@@._V1_UY317_CR19,0,214,317_AL__QL50.jpg","The Town,Argo,Transformers: Age of Extinction,Man on a Ledge"
Zoey Deutch,Actress,1994-11-10,"https://m.media-amazon.com/images/M/MV5BNzBjOTg0NzUtOGEwYy00OGExLWE3ZTUtZDY1MzI2NzE2MmMzXkEyXkFqcGdeQXVyMjMwNzU2MjM@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Set It Up,The Politician,Before I Fall,Zombieland: Double Tap"
Gabrielle Anwar,Actress,1970-2-4,"https://m.media-amazon.com/images/M/MV5BMjRlYWQ5MDUtM2YwNS00MTk2LWFhMGItOWE5OGJkNjVkNTQ0XkEyXkFqcGdeQXVyNjkxNjE2NTE@._V1_UY317_CR14,0,214,317_AL__QL50.jpg","Things to Do in Denver When You're Dead,Burn Notice,Scent of a Woman,The Three Musketeers"
Tom Holland,Actor,1996-6-1,"https://m.media-amazon.com/images/M/MV5BNTAzMzA3NjQwOF5BMl5BanBnXkFtZTgwMDUzODQ5MTI@._V1_UY317_CR23,0,214,317_AL__QL50.jpg","Spider-Man: Homecoming,Spider-Man: Far from Home,The Impossible,Captain America: Civil War"
Sam Hargrave,Stunts,,"https://m.media-amazon.com/images/M/MV5BMjM5MDY0ODQ2Ml5BMl5BanBnXkFtZTgwMDA5NDc4ODE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Avengers: Endgame,Avengers: Infinity War,Captain America: Civil War,The Avengers"
Sam Heughan,Actor,1980-4-30,"https://m.media-amazon.com/images/M/MV5BMTUwNzAyMzA2MF5BMl5BanBnXkFtZTgwNzA0MjQ1ODE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Outlander,A Princess for Christmas,Island at War,Young Alexander the Great"
Dwayne Johnson,Actor,1972-5-2,"https://m.media-amazon.com/images/M/MV5BMTkyNDQ3NzAxM15BMl5BanBnXkFtZTgwODIwMTQ0NTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Jumanji: Welcome to the Jungle,Journey 2: The Mysterious Island,Moana,G.I. Joe: Retaliation"
Brian Dennehy,Actor,1938-7-9,"https://m.media-amazon.com/images/M/MV5BNDE4MjEzMzAzMF5BMl5BanBnXkFtZTcwMzYzNDgwMw@@._V1_UY317_CR27,0,214,317_AL__QL50.jpg","First Blood,Silverado,Cocoon,Ratatouille"
Kate Hudson,Actress,1979-4-19,"https://m.media-amazon.com/images/M/MV5BMTA1NTk0MjMyOTFeQTJeQWpwZ15BbWU3MDA4NzEzMTM@._V1_UY317_CR12,0,214,317_AL__QL50.jpg","Almost Famous,How to Lose a Guy in 10 Days,Bride Wars,Fool's Gold"
Alicia Silverstone,Actress,1976-10-4,"https://m.media-amazon.com/images/M/MV5BMzg4MDQ1MTc2Ml5BMl5BanBnXkFtZTgwOTA2MjQ4OTE@._V1_UY317_CR5,0,214,317_AL__QL50.jpg","Clueless,Batman & Robin,Blast from the Past,The Crush"
Rudy Pankow,Actor,,"https://m.media-amazon.com/images/M/MV5BMDc4MDgzMmYtMjAxNC00MTVhLThjODAtMWQxMmY4N2YyZjgzXkEyXkFqcGdeQXVyNzM3OTE4ODk@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Outer Banks,The Politician,Deviant"
Merritt Wever,Actress,1980-8-11,"https://m.media-amazon.com/images/M/MV5BMjIyMTY1OTAwMF5BMl5BanBnXkFtZTcwNTI5OTM0NA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Signs,Marriage Story,Birdman or (The Unexpected Virtue of Ignorance),Michael Clayton"
Gugu Mbatha-Raw,Actress,1983-4-21,"https://m.media-amazon.com/images/M/MV5BM2FlZWVlYWMtMDM5OC00M2IxLWI5ZmYtNzdiNGQ1OTA0MjgzXkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_UY317_CR38,0,214,317_AL__QL50.jpg","Belle,Beyond the Lights,Concussion,Beauty and the Beast"
Rachel Bloom,Actress,1987-4-3,"https://m.media-amazon.com/images/M/MV5BNDU5NTQ1OTQyMF5BMl5BanBnXkFtZTgwMDM0MDcwMTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Crazy Ex-Girlfriend,Robot Chicken,Fuck Me, Ray Bradbury,Breaking Bad: The Middle School Musical"
